column,missing_count,missing_percentage
phase,37001,61.32
maximum_age,31937,52.93
interventions,6061,10.05
minimum_age,3216,5.33
exclusion_criteria,2101,3.48
healthy_volunteers,1480,2.45
official_title,786,1.3
inclusion_criteria,33,0.05
sex,33,0.05
eligibility_criteria,11,0.02
overall_status,0,0.0
conditions,1,0.0
source_condition_query,0,0.0
nct_id,0,0.0
brief_summary,0,0.0
title,0,0.0
study_type,0,0.0
criteria_split_status,0,0.0
combined_text_for_retrieval,0,0.0
has_eligibility_criteria,0,0.0
eligibility_criteria_length,0,0.0
inclusion_criteria_length,0,0.0
exclusion_criteria_length,0,0.0
clinicaltrials_url,0,0.0
